"","DISTRICT","BLOCK","HYDROGRAPH.STATION","TYPE.OF.STATION","YEAR","WELL.ID","LATITUDE","LONGITUDE","POSTMONSOON","RFL_TY","TEMP_TY","PCTCROPAREA_LY"
"53821","MEERUT","RAJPURA","KINA NAGA","P",2015,7154,28.9305555555556,77.815,19.03,0.639628830452784,305.115509698896,0.97734899328859
"53822","MEERUT","RAJPURA","MASOORE","P",2015,7155,28.6919444444444,77.5833333333333,14.15,0.58998586037679,305.697895583663,0.408249158249159
"53823","MEERUT","RAJPURA","MAU KHAS","P",2015,7156,28.9005555555556,77.7991666666667,18.61,0.639628830452784,305.115509698896,0.793305439330544
"53824","MEERUT","RAJPURA","NAGLA KAB","P",2015,7157,28.8888888888889,77.6688888888889,18.93,0.628175440292931,305.236139712379,0.847058823529412
"53825","MEERUT","RAJPURA","RAJPURA","P",2015,7158,28.7638888888889,77.8388888888889,20.65,0.617634809660357,305.2875557837,0.933724832214765
"53826","MEERUT","RAJPURA","SAINI  PI","P",2015,7159,29.0508333333333,77.8180555555556,NA,0.684724725204334,304.801080647359,0.729253981559094
"53827","MEERUT","RAJPURA","SALARPUR","P",2015,7160,28.0508333333333,77.8072222222222,17.78,0.522030565189394,306.082527347965,0.925460636515912
"53828","MEERUT","RAJPURA","SAMYAPUR","P",2015,7161,28.9025,77.8383333333333,19.24,0.639628830452784,305.115509698896,0.825503355704698
"53829","MEERUT","RAJPURA","SISAULI","P",2015,7162,28.9211111111111,77.8227777777778,18.79,0.639628830452784,305.115509698896,0.932885906040269
"53830","MEERUT","ROHTA","ARNAWALI","P",2015,7163,29.0083333333333,77.6083333333333,6.32,0.621793091231959,305.195600117684,0.879396984924623
"53831","MEERUT","ROHTA","JANGETHI","P",2015,7164,29.025,77.6916666666667,8.3,0.641344260953669,305.063104856973,0.00167644593461861
"53832","MEERUT","ROHTA","KAITHWARI","P",2015,7165,29.0444444444444,77.475,8.98,0.603535113634394,305.420051044411,0.629072681704261
"53833","MEERUT","ROHTA","KALYANPUR","P",2015,7166,29.0125,77.4833333333333,8.55,0.603535113634394,305.420051044411,0.839495798319328
"53834","MEERUT","ROHTA","LAKHWAYA","P",2015,7167,28.4875,77.6716666666667,NA,0.546280704569094,305.790840020281,0.83711167086482
"53835","MEERUT","ROHTA","RASNA","P",2015,7168,29.0666666666667,77.5416666666667,8.43,0.60461648980717,305.242072335993,0.837111670864819
"53836","MEERUT","ROHTA","ROHTA","P",2015,7169,29.0166666666667,77.5944444444444,8.1,0.621793091231959,305.195600117684,0.939495798319328
"53837","MEERUT","ROHTA","SHEKHPURI","P",2015,7170,29.0083333333333,77.6416666666667,4.8,0.621793091231959,305.195600117684,0.798326359832636
"53838","MEERUT","SARDHANA","KALINDI","P",2015,7171,29.1916666666667,77.5583333333333,15.3,0.64627455592697,304.895013854579,0.947986577181208
"53839","MEERUT","SARDHANA","KAPSAD","P",2015,7172,29.2011111111111,77.6744444444444,4.72,0.67962442005954,304.799103106154,0.814225941422594
"53840","MEERUT","SARDHANA","KHEDA","P",2015,7173,29.2083333333333,77.6633333333333,11.47,0.67962442005954,304.799103106154,0.871644295302013
"53841","MEERUT","SARDHANA","MAHADEWA","P",2015,7174,29.2083333333333,77.2083333333333,10.02,0.583791637325258,305.389399155739,0.814970563498739
"53842","MEERUT","SARDHANA","MANDORA","P",2015,7175,29.2133333333333,77.7583333333333,5.86,0.709077985507726,304.634967186169,0.910924369747899
"53843","MEERUT","SARDHANA","MILAK","P",2015,7176,29.15,77.7125,6.35,0.657514736609458,304.895013854579,0.811922753988245
"53844","MEERUT","SARDHANA","SAKAUTI","P",2015,7177,29.1833333333333,77.8805555555556,10.32,0.721026077396104,304.480718972207,0.942953020134228
"53845","MEERUT","SARDHANA","SALAWA","P",2015,7178,29.225,77.6583333333333,4.95,0.67962442005954,304.799103106154,0.784937238493724
"53846","MEERUT","SARDHANA","SARDHANA","P",2015,7179,29.1583333333333,77.7416666666667,7.2,0.67962442005954,304.799103106154,0.941471571906354
"53847","MEERUT","SARDHANA","SARDHANA BLOCK","P",2015,7180,29.1416666666667,77.8083333333333,7.27,0.684724725204334,304.801080647359,0.946173254835996
"53848","MEERUT","SAROORPUR","BOOBAKPUR","W",2015,7181,29.1583333333333,77.6333333333333,3.4,0.64627455592697,304.895013854579,0.828020134228188
"53849","MEERUT","SAROORPUR","DABTHUYA","P",2015,7182,29.1166666666667,77.6305555555556,NA,0.630262942234707,305.023554032881,0.861204013377927
"53850","MEERUT","SAROORPUR","DAHAR","P",2015,7183,29.1583333333333,77.0638888888889,15.4,0.57534547626444,305.508051628017,0.947147651006712
"53851","MEERUT","SAROORPUR","EIKDI","P",2015,7184,29.0733333333333,77.9847222222222,7.92,0.706526439409333,304.592450050269,0.947986577181208
"53852","MEERUT","SAROORPUR","GOTAKA","P",2015,7185,29.14,77.0111111111111,16.8,0.572268570865613,305.706794519084,0.387123745819398
"53853","MEERUT","SAROORPUR","HARRA","P",2015,7186,29.1083333333333,77.5,NA,0.60461648980717,305.242072335993,1
"53854","MEERUT","SAROORPUR","KARNAWAL","P",2015,7187,29.0972222222222,77.4666666666667,11,0.60461648980717,305.242072335993,0.6272040302267
"53855","MEERUT","SAROORPUR","PATHAULI","P",2015,7188,29.1083333333333,77.625,6.95,0.630262942234707,305.023554032881,0.967199327165686
"53856","MEERUT","SAROORPUR","SAROORPUR","P",2015,7189,29.1388888888889,77.5441666666667,12.4,0.60461648980717,305.242072335993,0.942114093959732
"53857","MIRZAPUR","CHHANVEY","BABURA","P",2015,7190,25.1985325,82.4348505555556,NA,0.751350596591694,307.449008320372,0.873002523128679
"53858","MIRZAPUR","CHHANVEY","BERAURA","P",2015,7191,25.1894444444444,82.3805555555556,17,0.751350596591694,307.449008320372,0.385714285714286
"53859","MIRZAPUR","CHHANVEY","BIHSADA","P",2015,7192,25.1433333333333,82.3336111111111,14.8,0.726779946232949,307.168197469313,0.787521079258011
"53860","MIRZAPUR","CHHANVEY","DEORI","W",2015,7193,25.0930016666667,82.3969875,10.57,0.763670759920962,307.238400182077,0.276613579212071
"53861","MIRZAPUR","CHHANVEY","DUGAULI","P",2015,7194,25.2644444444444,82.2955555555556,13.4,0.699309368276851,307.272018382556,0.21608040201005
"53862","MIRZAPUR","CHHANVEY","GAIPURA","W",2015,7195,25.1583333333333,82.3975511111111,14.44,0.751350596591694,307.449008320372,0.604340567612687
"53863","MIRZAPUR","CHHANVEY","GAURA","P",2015,7196,25.2091666666667,82.3180555555556,13.45,0.715605261272266,307.338266012912,0.71859296482412
"53864","MIRZAPUR","CHHANVEY","GONAURA","P",2015,7197,25.1480555555556,82.3083333333333,17.65,0.726779946232949,307.168197469313,0.836974789915966
"53865","MIRZAPUR","CHHANVEY","HARGARH","P",2015,7198,25.2013888888889,82.2936111111111,19.7,0.715605261272266,307.338266012912,0.633671742808799
"53866","MIRZAPUR","CHHANVEY","JASA BAGHAURA","P",2015,7199,25.2266666666667,82.405,16.95,0.751350596591694,307.449008320372,0.918760469011726
"53867","MIRZAPUR","CHHANVEY","KHAIRA","P",2015,7200,25.2338888888889,82.2561111111111,13.5,0.715605261272266,307.338266012912,0.283319362950545
"53868","MIRZAPUR","CHHANVEY","NADINI","P",2015,7201,25.2486111111111,82.3844444444444,NA,0.751350596591694,307.449008320372,0.231543624161074
"53869","MIRZAPUR","CHHANVEY","NAROIYA","P",2015,7202,25.1661111111111,82.3161111111111,10.75,0.715605261272266,307.338266012912,0.78290025146689
"53870","MIRZAPUR","CHHANVEY","SHEOPUR","W",2015,7203,25.1638888888889,82.3333333333333,6.65,0.715605261272266,307.338266012912,0.764411027568923
"53871","MIRZAPUR","CHHANVEY","VIJAIPUR","P",2015,7204,25.1155555555556,82.3933333333333,NA,0.763670759920962,307.238400182077,0.0116959064327486
"53872","MIRZAPUR","HALIA","AHUNGI KA","P",2015,7205,24.7938583333333,82.3040911111111,NA,0.74813851917127,306.98824121969,0.642796967144061
"53873","MIRZAPUR","HALIA","BABURA KA","W",2015,7206,24.8581772222222,82.2041947222222,4.6,0.709505797988451,307.068331638478,0.83249581239531
"53874","MIRZAPUR","HALIA","BHOSOR","W",2015,7207,24.8549736111111,82.1811372222222,6.02,0.709505797988451,307.068331638478,0.233082706766917
"53875","MIRZAPUR","HALIA","DRAMANDGANJ","W",2015,7208,24.8551186111111,82.3254347222222,9.25,0.736894157910795,307.187972881359,0.504602510460251
"53876","MIRZAPUR","HALIA","DURZANIPUR","W",2015,7209,24.8868836111111,82.1779738888889,2.27,0.709505797988451,307.068331638478,0.595138306789606
"53877","MIRZAPUR","HALIA","HALIA","W",2015,7210,24.829045,82.3254319444444,5.69,0.74813851917127,306.98824121969,0.745606694560669
"53878","MIRZAPUR","HALIA","KATHARI","W",2015,7211,24.7588972222222,82.3870155555555,1.19,0.772080689305889,307.130624186425,0.000838926174496644
"53879","MIRZAPUR","HALIA","MAHUGAR","W",2015,7212,24.8268566666667,82.2570488888889,1.8,0.74813851917127,306.98824121969,0.881612090680101
"53880","MIRZAPUR","HALIA","MAJHIYAR","W",2015,7213,24.869175,82.3051538888889,2.95,0.736894157910795,307.187972881359,0.300335570469799
"53881","MIRZAPUR","HALIA","MAHUGAR","P",2015,7214,24.8240341666667,82.2508305555556,NA,0.74813851917127,306.98824121969,0.915966386554622
"53882","MIRZAPUR","HALIA","MATWAR","P",2015,7215,24.7148816666667,82.4596583333333,NA,0.812297849545984,306.845858252956,0.114644351464435
"53883","MIRZAPUR","HALIA","RATEH","W",2015,7216,24.8714197222222,82.1918588888889,5.24,0.709505797988451,307.068331638478,0.730252100840336
"53884","MIRZAPUR","HALIA","UMARIYA","P",2015,7217,24.6960041666667,82.3199538888889,NA,0.763262456804179,306.847835794161,0.075503355704698
"53885","MIRZAPUR","HALIA","BABURA KALAN","P",2015,7218,24.8429238888889,82.20943,NA,0.724470873657834,306.517586412986,0.79278523489933
"53886","MIRZAPUR","JAMALPUR","AHROURA, NAGAR PALIKA","P",2015,7219,25.1294816666667,83.0930488888889,7.25,0.830219987378551,307.594357598913,0.867892976588629
"53887","MIRZAPUR","JAMALPUR","BIGSEE","W",2015,7220,25.0800616666667,83.0781283333333,3.6,0.830219987378551,307.594357598913,0.913518052057094
"53888","MIRZAPUR","JAMALPUR","BAHUAR","P",2015,7221,25.1616922222222,83.1220577777778,NA,0.809526126340248,307.430221678927,0.919530595138307
"53889","MIRZAPUR","JAMALPUR","DHARA","W",2015,7222,25.1962716666667,83.0925588888889,1.1,0.809526126340248,307.430221678927,0.931380753138075
"53890","MIRZAPUR","JAMALPUR","DOHARI","P",2015,7223,25.1500827777778,83.1370880555556,NA,0.809526126340248,307.430221678927,0.879396984924623
"53891","MIRZAPUR","JAMALPUR","GARAUDI","P",2015,7224,25.1601847222222,83.0449622222222,NA,0.815242369975205,307.432199220132,0.906801007556675
"53892","MIRZAPUR","JAMALPUR","JAMALPUR BLOCK","P",2015,7225,25.1541213888889,83.0930044444444,4.75,0.809526126340248,307.430221678927,0.8040370058873
"53893","MIRZAPUR","JAMALPUR","JAY PATTI KALAN","P",2015,7226,25.1686819444444,83.0591575,6.65,0.809526126340248,307.430221678927,0.892617449664429
"53894","MIRZAPUR","JAMALPUR","KARAJI","W",2015,7227,25.1122555555556,83.0758922222222,3.85,0.830219987378551,307.594357598913,0.854026845637584
"53895","MIRZAPUR","JAMALPUR","KHAJURAOL","W",2015,7228,25.1635086111111,83.0543294444444,3.5,0.809526126340248,307.430221678927,0.900083963056255
"53896","MIRZAPUR","JAMALPUR","KODIYA KALAN","W",2015,7229,25.1616669444444,83.1399383333333,2,0.809526126340248,307.430221678927,0.905803195962995
"53897","MIRZAPUR","JAMALPUR","KUDRAON","W",2015,7230,25.1520297222222,83.0467177777778,NA,0.815242369975205,307.432199220132,0.907795473595977
"53898","MIRZAPUR","JAMALPUR","KAKARAHI","P",2015,7231,25.2193941666667,83.0350586111111,3.2,0.815242369975205,307.432199220132,0.461796809403863
"53899","MIRZAPUR","JAMALPUR","MIRZAPUR-2","W",2015,7232,25.1111788888889,83.1367416666667,3.75,0.830219987378551,307.594357598913,0.934288121314237
"53900","MIRZAPUR","JAMALPUR","MADAPUR UDAKI","W",2015,7233,25.2348180555556,83.0358983333333,5.8,0.815242369975205,307.432199220132,0.0913663034367142
